Metric,Value
cpu_percent,3.5
cpu_per_core,[0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 9.1, 0.0, 0.0, 9.1, 0.0, 0.0, 10.0, 0.0, 0.0]
cpu_freq_current,552
cpu_freq_max,2150
cpu_freq_min,400
cpu_temp,36.0°C
cpu_cores_physical,10
cpu_cores_logical,16
load_avg,0.91, 1.28, 1.26
load_avg_1,0.91455078125
load_avg_5,1.279296875
load_avg_15,1.25634765625
cpu_time_user,2.4
cpu_time_system,1.2
cpu_time_idle,95.7
ram_percent,45.8
ram_total,15.299148559570312
ram_used,4.689659118652344
ram_available,8.293556213378906
ram_free,1.4251861572265625
ram_cached,9.180767059326172
ram_buffers,0.003536224365234375
ram_shared,1.4018898010253906
swap_percent,0.0
swap_total,7.649410247802734
swap_used,5.7220458984375e-05
swap_free,7.64935302734375
memory_pressure,LOW
mem_pages_in,N/A
mem_pages_out,N/A
disk_percent,100.0
disk_total,0.040843963623046875
disk_used,0.040843963623046875
disk_free,0.0
disk_partitions,9
partition_list,[{'device': '/dev/nvme0n1p3', 'mountpoint': '/etc', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13910675048828, 'percent': 44.3}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/sysroot', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13910675048828, 'percent': 44.3}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/sysroot/ostree/deploy/default/var', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13910675048828, 'percent': 44.3}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/var', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13910675048828, 'percent': 44.3}, {'device': '/dev/nvme0n1p2', 'mountpoint': '/boot', 'fstype': 'ext4', 'total': 0.9506034851074219, 'used': 0.4655952453613281, 'percent': 52.6}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/var/home', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13910675048828, 'percent': 44.3}, {'device': '/dev/nvme0n1p1', 'mountpoint': '/boot/efi', 'fstype': 'vfat', 'total': 0.58477783203125, 'used': 0.01224517822265625, 'percent': 2.1}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/usr/share/wireplumber', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13910675048828, 'percent': 44.3}, {'device': '/dev/nvme0n1p3', 'mountpoint': '/usr/share/pipewire', 'fstype': 'btrfs', 'total': 475.3525390625, 'used': 209.13910675048828, 'percent': 44.3}]
disk_read_bytes,9900650496
disk_write_bytes,2236175360
disk_read_speed,0.0
disk_write_speed,0.0
disk_read_count,96836
disk_write_count,98161
disk_read_time,35482
disk_write_time,805994
open_files,374
fd_usage,4/1024
net_sent,4876653
net_recv,53635747
net_packets_sent,13990
net_packets_recv,48581
net_up_speed,442.0
net_down_speed,196.0
net_connections,37
net_connections_listen,13
net_connections_established,12
net_connections_time_wait,0
net_interfaces,['lo', 'wlan0', 'enp3s0']
net_interface_details,[{'name': 'lo', 'ip': '127.0.0.1', 'netmask': '255.0.0.0'}, {'name': 'wlan0', 'ip': '192.168.1.4', 'netmask': '255.255.255.0'}]
net_interface_stats,{'lo': snicstats(isup=True, duplex=<NicDuplex.NIC_DUPLEX_UNKNOWN: 0>, speed=0, mtu=65536, flags='up,loopback,running'), 'enp3s0': snicstats(isup=False, duplex=<NicDuplex.NIC_DUPLEX_UNKNOWN: 0>, speed=0, mtu=1500, flags='up,broadcast,multicast'), 'wlan0': snicstats(isup=True, duplex=<NicDuplex.NIC_DUPLEX_UNKNOWN: 0>, speed=0, mtu=1500, flags='up,broadcast,running,multicast')}
hostname,bazzite
ip_address,192.168.1.4
dns_servers,127.0.0.53
network_latency,23.1 ms
process_count,428
process_delta,0
top_processes_cpu,[{'pid': 12972, 'memory_percent': 0.24156107096729149, 'name': 'python', 'cpu_percent': 19.7}, {'pid': 5975, 'memory_percent': 2.156770342444235, 'name': 'Isolated Web Co', 'cpu_percent': 9.4}, {'pid': 3867, 'memory_percent': 3.2025293099751155, 'name': 'plasmashell', 'cpu_percent': 6.9}, {'pid': 3707, 'memory_percent': 1.877434186576505, 'name': 'kwin_wayland', 'cpu_percent': 5.1}, {'pid': 4482, 'memory_percent': 1.1849408315006809, 'name': 'steam', 'cpu_percent': 3.4}]
top_processes_mem,[{'pid': 5466, 'memory_percent': 5.448887692054516, 'name': 'whatsie', 'cpu_percent': 0.0}, {'pid': 5091, 'memory_percent': 4.1174842541477785, 'name': 'firefox-bin', 'cpu_percent': 0.0}, {'pid': 3867, 'memory_percent': 3.2025293099751155, 'name': 'plasmashell', 'cpu_percent': 0.0}, {'pid': 4921, 'memory_percent': 2.787851133751228, 'name': 'steamwebhelper', 'cpu_percent': 0.0}, {'pid': 6512, 'memory_percent': 2.444484338923547, 'name': 'Isolated Web Co', 'cpu_percent': 0.0}]
zombie_processes,[]
zombie_count,0
process_states,{'running': 2, 'sleeping': 283, 'stopped': 0, 'zombie': 0, 'other': 143}
total_threads,1439
uptime,0:30:30.326419
boot_time,2026-02-17 05:05:56
os_name,Linux
os_version,#1 SMP PREEMPT_DYNAMIC Mon Jan 19 05:47:43 UTC 2026
os_release,6.17.7-ba25.fc43.x86_64
os_architecture,x86_64
os_processor,
python_version,3.14.2
logged_users,['hafizhtux', 'hafizhtux']
logged_users_details,[{'name': 'hafizhtux', 'terminal': 'tty1', 'host': '', 'started': 1771279602.0}, {'name': 'hafizhtux', 'terminal': 'pts/0', 'host': 'localhost', 'started': 1771279607.0}]
battery_percent,79.57699933906147
battery_plugged,True
battery_time_left,-2
locale,en_US.UTF-8
timezone,('+07', '+07')
env_vars_count,80
home_total,475.3525390625
home_used,209.13910675048828
home_free,262.82897186279297
temp_total,7.649574279785156
temp_used,0.015171051025390625
temp_free,7.634403228759766
security_level,{'level': 'HIGH', 'score': 100, 'checks': ['✓ Not running as root', '✓ No zombie processes', '✓ Normal network connections', '✓ Normal user count', '✓ System check passed']}
recent_files,[]
